corpus: 154 strings; slots pooled over blocks 1..62
slot	class	max	n_distinct(<=40 tracked)	sample
0	binary	1	2	[0, 1]
1	binary	1	2	[0, 1]
2	binary	1	2	[0, 1]
3	binary	1	2	[0, 1]
4	binary	1	2	[0, 1]
5	binary	1	2	[0, 1]
6	binary	1	2	[0, 1]
7	binary	1	2	[0, 1]
8	binary	1	2	[0, 1]
9	binary	1	2	[0, 1]
10	binary	1	2	[0, 1]
11	binary	1	2	[0, 1]
12	binary	1	2	[0, 1]
13	binary	1	2	[0, 1]
14	binary	1	2	[0, 1]
15	binary	1	2	[0, 1]
16	binary	1	2	[0, 1]
17	binary	1	2	[0, 1]
18	binary	1	2	[0, 1]
19	binary	1	2	[0, 1]
20	binary	1	2	[0, 1]
21	binary	1	2	[0, 1]
22	binary	1	2	[0, 1]
23	binary	1	2	[0, 1]
24	binary	1	2	[0, 1]
25	binary	1	2	[0, 1]
26	binary	1	2	[0, 1]
27	binary	1	2	[0, 1]
28	binary	1	2	[0, 1]
29	binary	1	2	[0, 1]
30	binary	1	2	[0, 1]
31	binary	1	2	[0, 1]
32	binary	1	2	[0, 1]
33	small<=8	2	3	[0, 1, 2]
34	small<=8	2	3	[0, 1, 2]
35	small<=8	2	3	[0, 1, 2]
36	small<=8	2	3	[0, 1, 2]
37	small<=8	2	3	[0, 1, 2]
38	small<=8	2	3	[0, 1, 2]
39	small<=8	2	3	[0, 1, 2]
40	small<=8	2	3	[0, 1, 2]
41	small<=8	2	3	[0, 1, 2]
42	small<=8	2	3	[0, 1, 2]
43	small<=8	2	3	[0, 1, 2]
44	small<=8	2	3	[0, 1, 2]
45	small<=8	2	3	[0, 1, 2]
46	small<=8	2	3	[0, 1, 2]
47	small<=8	2	3	[0, 1, 2]
48	small<=8	2	3	[0, 1, 2]
49	small<=8	2	3	[0, 1, 2]
50	small<=8	2	3	[0, 1, 2]
51	small<=8	2	3	[0, 1, 2]
52	small<=8	2	3	[0, 1, 2]
53	small<=8	2	3	[0, 1, 2]
54	small<=8	2	3	[0, 1, 2]
55	small<=8	2	3	[0, 1, 2]
56	small<=8	2	3	[0, 1, 2]
57	small<=8	2	3	[0, 1, 2]
58	small<=8	2	3	[0, 1, 2]
59	small<=8	2	3	[0, 1, 2]
60	small<=8	2	3	[0, 1, 2]
61	small<=8	2	3	[0, 1, 2]
62	small<=8	2	3	[0, 1, 2]
63	small<=8	2	3	[0, 1, 2]
64	always0	0	1	[0]
65	binary	1	2	[0, 1]
66	binary	1	2	[0, 1]
67	binary	1	2	[0, 1]
68	binary	1	2	[0, 1]
69	binary	1	2	[0, 1]
70	binary	1	2	[0, 1]
71	binary	1	2	[0, 1]
72	binary	1	2	[0, 1]
73	binary	1	2	[0, 1]
74	binary	1	2	[0, 1]
75	binary	1	2	[0, 1]
76	binary	1	2	[0, 1]
77	binary	1	2	[0, 1]
78	binary	1	2	[0, 1]
79	binary	1	2	[0, 1]
80	binary	1	2	[0, 1]
81	binary	1	2	[0, 1]
82	binary	1	2	[0, 1]
83	binary	1	2	[0, 1]
84	binary	1	2	[0, 1]
85	binary	1	2	[0, 1]
86	binary	1	2	[0, 1]
87	binary	1	2	[0, 1]
88	binary	1	2	[0, 1]
89	binary	1	2	[0, 1]
90	binary	1	2	[0, 1]
91	binary	1	2	[0, 1]
92	binary	1	2	[0, 1]
93	binary	1	2	[0, 1]
94	binary	1	2	[0, 1]
95	binary	1	2	[0, 1]
96	binary	1	2	[0, 1]
97	binary	1	2	[0, 1]
98	binary	1	2	[0, 1]
