block-1 (layers 59..100) as 42-position listing
pos	idx	id	shape	nnz%	type	rank	n_ids_across_63_blocks
0	59	59	[336, 256]	0.54	sparse	224	63
1	60	18	[296, 336]	0.34	sparse	296	3
2	61	19	[340, 296]	0.43	sparse	264	2
3	62	20	[332, 340]	0.41	sparse	268	1
4	63	21	[375, 332]	0.38	sparse	300	1
5	64	22	[399, 375]	0.33	sparse	336	1
6	65	23	[410, 399]	0.31	sparse	368	1
7	66	24	[402, 410]	0.30	sparse	372	1
8	67	25	[412, 402]	0.30	sparse	372	1
9	68	26	[404, 412]	0.30	sparse	376	1
10	69	27	[412, 404]	0.29	sparse	376	1
11	70	28	[404, 412]	0.29	sparse	380	1
12	71	29	[408, 404]	0.28	sparse	380	1
13	72	30	[400, 408]	0.28	sparse	384	1
14	73	31	[352, 400]	0.31	sparse	320	1
15	74	32	[288, 352]	0.38	sparse	256	1
16	75	33	[288, 288]	0.58	identity_plus_delta	224	1
17	76	34	[256, 288]	0.39	sparse	256	1
18	77	35	[319, 256]	0.47	sparse	256	1
19	78	36	[288, 319]	0.35	sparse	288	1
20	79	37	[318, 288]	0.41	sparse	288	1
21	80	38	[288, 318]	0.35	sparse	288	1
22	81	39	[316, 288]	0.41	sparse	288	1
23	82	40	[288, 316]	0.35	sparse	288	1
24	83	41	[312, 288]	0.40	sparse	288	1
25	84	42	[288, 312]	0.35	sparse	288	1
26	85	43	[304, 288]	0.38	sparse	288	1
27	86	44	[288, 304]	0.35	sparse	288	1
28	87	45	[256, 288]	0.43	sparse	224	1
29	88	60	[288, 256]	0.65	sparse	224	16
30	89	47	[256, 288]	0.39	sparse	256	1
31	90	48	[319, 256]	0.47	sparse	256	1
32	91	49	[288, 319]	0.35	sparse	288	1
33	92	50	[318, 288]	0.41	sparse	288	1
34	93	51	[288, 318]	0.35	sparse	288	1
35	94	52	[316, 288]	0.41	sparse	288	1
36	95	53	[288, 316]	0.35	sparse	288	1
37	96	54	[312, 288]	0.40	sparse	288	1
38	97	55	[288, 312]	0.35	sparse	288	1
39	98	56	[304, 288]	0.38	sparse	288	1
40	99	57	[288, 304]	0.35	sparse	288	1
41	100	58	[256, 288]	0.43	sparse	224	1
