118 distinct values across all weights+biases
value	exact_fraction	dyadic(v*2^k int, k)
-256.0	-256=EXACT	k=0
-251.0	-251=EXACT	k=0
-250.0	-250=EXACT	k=0
-249.0	-249=EXACT	k=0
-240.0	-240=EXACT	k=0
-239.0	-239=EXACT	k=0
-238.0	-238=EXACT	k=0
-228.0	-228=EXACT	k=0
-227.0	-227=EXACT	k=0
-226.0	-226=EXACT	k=0
-200.0	-200=EXACT	k=0
-199.0	-199=EXACT	k=0
-198.0	-198=EXACT	k=0
-195.0	-195=EXACT	k=0
-194.0	-194=EXACT	k=0
-193.0	-193=EXACT	k=0
-186.0	-186=EXACT	k=0
-185.0	-185=EXACT	k=0
-184.0	-184=EXACT	k=0
-173.0	-173=EXACT	k=0
-172.0	-172=EXACT	k=0
-171.0	-171=EXACT	k=0
-170.0	-170=EXACT	k=0
-169.0	-169=EXACT	k=0
-150.0	-150=EXACT	k=0
-149.0	-149=EXACT	k=0
-148.0	-148=EXACT	k=0
-128.0	-128=EXACT	k=0
-127.0	-127=EXACT	k=0
-125.0	-125=EXACT	k=0
-124.0	-124=EXACT	k=0
-123.0	-123=EXACT	k=0
-118.0	-118=EXACT	k=0
-117.0	-117=EXACT	k=0
-116.0	-116=EXACT	k=0
-102.0	-102=EXACT	k=0
-101.0	-101=EXACT	k=0
-100.0	-100=EXACT	k=0
-65.0	-65=EXACT	k=0
-64.0	-64=EXACT	k=0
-63.0	-63=EXACT	k=0
-61.0	-61=EXACT	k=0
-60.0	-60=EXACT	k=0
-59.0	-59=EXACT	k=0
-51.0	-51=EXACT	k=0
-50.0	-50=EXACT	k=0
-49.0	-49=EXACT	k=0
-36.0	-36=EXACT	k=0
-35.0	-35=EXACT	k=0
-34.0	-34=EXACT	k=0
-32.0	-32=EXACT	k=0
-31.0	-31=EXACT	k=0
-16.0	-16=EXACT	k=0
-15.0	-15=EXACT	k=0
-8.0	-8=EXACT	k=0
-7.0	-7=EXACT	k=0
-4.0	-4=EXACT	k=0
-3.0	-3=EXACT	k=0
-2.0	-2=EXACT	k=0
-1.0	-1=EXACT	k=0
0.0	0=EXACT	k=0
1.0	1=EXACT	k=0
2.0	2=EXACT	k=0
3.0	3=EXACT	k=0
4.0	4=EXACT	k=0
5.0	5=EXACT	k=0
6.0	6=EXACT	k=0
7.0	7=EXACT	k=0
8.0	8=EXACT	k=0
9.0	9=EXACT	k=0
10.0	10=EXACT	k=0
11.0	11=EXACT	k=0
12.0	12=EXACT	k=0
13.0	13=EXACT	k=0
14.0	14=EXACT	k=0
15.0	15=EXACT	k=0
16.0	16=EXACT	k=0
17.0	17=EXACT	k=0
18.0	18=EXACT	k=0
19.0	19=EXACT	k=0
20.0	20=EXACT	k=0
21.0	21=EXACT	k=0
22.0	22=EXACT	k=0
23.0	23=EXACT	k=0
24.0	24=EXACT	k=0
25.0	25=EXACT	k=0
26.0	26=EXACT	k=0
27.0	27=EXACT	k=0
28.0	28=EXACT	k=0
29.0	29=EXACT	k=0
30.0	30=EXACT	k=0
31.0	31=EXACT	k=0
32.0	32=EXACT	k=0
33.0	33=EXACT	k=0
34.0	34=EXACT	k=0
35.0	35=EXACT	k=0
36.0	36=EXACT	k=0
37.0	37=EXACT	k=0
38.0	38=EXACT	k=0
39.0	39=EXACT	k=0
40.0	40=EXACT	k=0
41.0	41=EXACT	k=0
42.0	42=EXACT	k=0
43.0	43=EXACT	k=0
44.0	44=EXACT	k=0
45.0	45=EXACT	k=0
46.0	46=EXACT	k=0
47.0	47=EXACT	k=0
48.0	48=EXACT	k=0
49.0	49=EXACT	k=0
50.0	50=EXACT	k=0
51.0	51=EXACT	k=0
52.0	52=EXACT	k=0
53.0	53=EXACT	k=0
54.0	54=EXACT	k=0
55.0	55=EXACT	k=0
64.0	64=EXACT	k=0
128.0	128=EXACT	k=0
