idx	label	id	shape	nnz%	type	rank	bias
0	P00	0	[224, 55]	1.34	selection	-	nz
1	P01	1	[232, 224]	36.85	dense	113	nz
2	P02	2	[64, 232]	1.56	sparse	64	0
3	P03	3	[208, 64]	0.60	selection_scaled	-	nz
4	P04	4	[200, 208]	0.50	sparse	200	nz
5	P05	5	[212, 200]	0.50	selection_scaled	-	nz
6	P06	6	[204, 212]	0.49	sparse	204	nz
7	P07	7	[216, 204]	0.49	selection_scaled	-	nz
8	P08	8	[208, 216]	0.48	sparse	208	nz
9	P09	9	[220, 208]	0.48	selection_scaled	-	nz
10	P10	10	[212, 220]	0.47	sparse	212	nz
11	P11	11	[224, 212]	0.47	selection_scaled	-	nz
12	P12	12	[216, 224]	0.46	sparse	216	nz
13	P13	13	[228, 216]	0.46	selection_scaled	-	nz
14	P14	14	[220, 228]	0.45	sparse	220	nz
15	P15	15	[232, 220]	0.45	selection_scaled	-	nz
16	P16	16	[224, 232]	0.45	sparse	224	nz
17	B00	17	[336, 224]	0.49	sparse	224	nz
18	B01	18	[296, 336]	0.34	sparse	296	nz
19	B02	19	[340, 296]	0.43	sparse	264	nz
20	B03	20	[332, 340]	0.41	sparse	268	nz
21	B04	21	[375, 332]	0.38	sparse	300	nz
22	B05	22	[399, 375]	0.33	sparse	336	nz
23	B06	23	[410, 399]	0.31	sparse	368	nz
24	B07	24	[402, 410]	0.30	sparse	372	nz
25	B08	25	[412, 402]	0.30	sparse	372	nz
26	B09	26	[404, 412]	0.30	sparse	376	nz
27	B10	27	[412, 404]	0.29	sparse	376	nz
28	B11	28	[404, 412]	0.29	sparse	380	nz
29	B12	29	[408, 404]	0.28	sparse	380	nz
30	B13	30	[400, 408]	0.28	sparse	384	nz
31	B14	31	[352, 400]	0.31	sparse	320	nz
32	B15	32	[288, 352]	0.38	sparse	256	nz
33	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
34	B17	34	[256, 288]	0.39	sparse	256	0
35	B18	35	[319, 256]	0.47	sparse	256	nz
36	B19	36	[288, 319]	0.35	sparse	288	nz
37	B20	37	[318, 288]	0.41	sparse	288	nz
38	B21	38	[288, 318]	0.35	sparse	288	nz
39	B22	39	[316, 288]	0.41	sparse	288	nz
40	B23	40	[288, 316]	0.35	sparse	288	nz
41	B24	41	[312, 288]	0.40	sparse	288	nz
42	B25	42	[288, 312]	0.35	sparse	288	nz
43	B26	43	[304, 288]	0.38	sparse	288	nz
44	B27	44	[288, 304]	0.35	sparse	288	nz
45	B28	45	[256, 288]	0.43	sparse	224	nz
46	B29	46	[288, 256]	0.65	sparse	224	nz
47	B30	47	[256, 288]	0.39	sparse	256	0
48	B31	48	[319, 256]	0.47	sparse	256	nz
49	B32	49	[288, 319]	0.35	sparse	288	nz
50	B33	50	[318, 288]	0.41	sparse	288	nz
51	B34	51	[288, 318]	0.35	sparse	288	nz
52	B35	52	[316, 288]	0.41	sparse	288	nz
53	B36	53	[288, 316]	0.35	sparse	288	nz
54	B37	54	[312, 288]	0.40	sparse	288	nz
55	B38	55	[288, 312]	0.35	sparse	288	nz
56	B39	56	[304, 288]	0.38	sparse	288	nz
57	B40	57	[288, 304]	0.35	sparse	288	nz
58	B41	58	[256, 288]	0.43	sparse	224	nz
59	B00	59	[336, 256]	0.54	sparse	224	nz
60	B01	18	[296, 336]	0.34	sparse	296	nz
61	B02	19	[340, 296]	0.43	sparse	264	nz
62	B03	20	[332, 340]	0.41	sparse	268	nz
63	B04	21	[375, 332]	0.38	sparse	300	nz
