label	shapes	types(count)	n_vals	vals_if_small
B00	[(336, 224), (336, 256), (368, 256)]	{'sparse': 63}	8	[-128.0, -127.0, -2.0, -1.0, 0.0, 1.0, 2.0, 128.0]
B01	[(296, 336), (328, 336), (328, 368)]	{'sparse': 63}	6	[-128.0, -2.0, -1.0, 0.0, 1.0, 128.0]
B02	[(340, 296), (340, 328)]	{'sparse': 63}	7	[-64.0, -63.0, -2.0, -1.0, 0.0, 1.0, 64.0]
B03	[(332, 340)]	{'sparse': 63}	6	[-64.0, -2.0, -1.0, 0.0, 1.0, 64.0]
B04	[(375, 332)]	{'sparse': 63}	7	[-32.0, -31.0, -2.0, -1.0, 0.0, 1.0, 32.0]
B05	[(399, 375)]	{'sparse': 63}	5	[-32.0, -1.0, 0.0, 1.0, 32.0]
B06	[(410, 399)]	{'sparse': 63}	6	[-16.0, -15.0, -1.0, 0.0, 1.0, 16.0]
B07	[(402, 410)]	{'sparse': 63}	5	[-16.0, -1.0, 0.0, 1.0, 16.0]
B08	[(412, 402)]	{'sparse': 63}	6	[-8.0, -7.0, -1.0, 0.0, 1.0, 8.0]
B09	[(404, 412)]	{'sparse': 63}	5	[-8.0, -1.0, 0.0, 1.0, 8.0]
B10	[(412, 404)]	{'sparse': 63}	6	[-4.0, -3.0, -1.0, 0.0, 1.0, 4.0]
B11	[(404, 412)]	{'sparse': 63}	5	[-4.0, -1.0, 0.0, 1.0, 4.0]
B12	[(408, 404)]	{'sparse': 63}	5	[-2.0, -1.0, 0.0, 1.0, 2.0]
B13	[(400, 408)]	{'sparse': 63}	5	[-2.0, -1.0, 0.0, 1.0, 2.0]
B14	[(352, 400)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B15	[(288, 352)]	{'sparse': 63}	4	[-2.0, -1.0, 0.0, 1.0]
B16	[(288, 288)]	{'identity_plus_delta': 63}	4	[-2.0, -1.0, 0.0, 1.0]
B17	[(256, 288)]	{'sparse': 63}	3	[-2.0, 0.0, 1.0]
B18	[(319, 256)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B19	[(288, 319)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B20	[(318, 288)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B21	[(288, 318)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B22	[(316, 288)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B23	[(288, 316)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B24	[(312, 288)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B25	[(288, 312)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B26	[(304, 288)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B27	[(288, 304)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B28	[(256, 288)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B29	[(288, 256)]	{'sparse': 63}	4	[-2.0, -1.0, 0.0, 1.0]
B30	[(256, 288)]	{'sparse': 63}	3	[-2.0, 0.0, 1.0]
B31	[(319, 256)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B32	[(288, 319)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B33	[(318, 288)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B34	[(288, 318)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B35	[(316, 288)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B36	[(288, 316)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B37	[(312, 288)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B38	[(288, 312)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B39	[(304, 288)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B40	[(288, 304)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
B41	[(256, 288)]	{'sparse': 63}	3	[-1.0, 0.0, 1.0]
E00	[(256, 256)]	{'identity_plus_delta': 1}	5	[-2.0, -1.0, 0.0, 1.0, 2.0]
E01	[(256, 256)]	{'identity_plus_delta': 1}	3	[-1.0, 0.0, 1.0]
E02	[(256, 256)]	{'identity_plus_delta': 1}	4	[-2.0, -1.0, 0.0, 1.0]
E03	[(256, 256)]	{'identity_plus_delta': 1}	4	[-2.0, -1.0, -0.0, 1.0]
E04	[(287, 256)]	{'sparse': 1}	4	[-2.0, -1.0, 0.0, 1.0]
E05	[(319, 287)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E06	[(318, 319)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E07	[(318, 318)]	{'identity_plus_delta': 1}	3	[-1.0, 0.0, 1.0]
E08	[(316, 318)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E09	[(316, 316)]	{'identity_plus_delta': 1}	3	[-1.0, 0.0, 1.0]
E10	[(312, 316)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E11	[(312, 312)]	{'identity_plus_delta': 1}	3	[-1.0, 0.0, 1.0]
E12	[(304, 312)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E13	[(304, 304)]	{'identity_plus_delta': 1}	3	[-1.0, 0.0, 1.0]
E14	[(256, 304)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E15	[(192, 256)]	{'sparse': 1}	4	[-2.0, -1.0, 0.0, 1.0]
E16	[(192, 192)]	{'identity_plus_delta': 1}	4	[-2.0, -1.0, 0.0, 1.0]
E17	[(160, 192)]	{'sparse': 1}	3	[-2.0, -0.0, 1.0]
E18	[(223, 160)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E19	[(192, 223)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E20	[(222, 192)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E21	[(192, 222)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E22	[(220, 192)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E23	[(192, 220)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E24	[(216, 192)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E25	[(192, 216)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E26	[(208, 192)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E27	[(192, 208)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E28	[(160, 192)]	{'sparse': 1}	3	[-1.0, 0.0, 1.0]
E29	[(192, 160)]	{'sparse': 1}	4	[-2.0, -1.0, 0.0, 1.0]
