in-block position 29 (layer 17+42*b+29), diffs vs block 1
block-1 shape [288, 256]

block  0:   384 weight diffs,   0 bias diffs
block  1:     0 weight diffs,   0 bias diffs
block  2:   384 weight diffs,   0 bias diffs
block  3:   384 weight diffs,   0 bias diffs
block  4:   384 weight diffs,   0 bias diffs
block  5:     0 weight diffs,   0 bias diffs
block  6:   384 weight diffs,   0 bias diffs
block  7:   384 weight diffs,   0 bias diffs
block  8:   384 weight diffs,   0 bias diffs
block  9:     0 weight diffs,   0 bias diffs
block 10:   384 weight diffs,   0 bias diffs
block 11:   384 weight diffs,   0 bias diffs
block 12:   384 weight diffs,   0 bias diffs
block 13:     0 weight diffs,   0 bias diffs
block 14:   384 weight diffs,   0 bias diffs
block 15:   384 weight diffs,   0 bias diffs
block 16:   384 weight diffs,   0 bias diffs
block 17:   384 weight diffs,   0 bias diffs
block 18:   384 weight diffs,   0 bias diffs
block 19:   384 weight diffs,   0 bias diffs
block 20:   384 weight diffs,   0 bias diffs
block 21:   384 weight diffs,   0 bias diffs
block 22:   384 weight diffs,   0 bias diffs
block 23:   384 weight diffs,   0 bias diffs
block 24:   384 weight diffs,   0 bias diffs
block 25:   384 weight diffs,   0 bias diffs
block 26:   384 weight diffs,   0 bias diffs
block 27:   384 weight diffs,   0 bias diffs
block 28:   384 weight diffs,   0 bias diffs
block 29:   384 weight diffs,   0 bias diffs
block 30:   384 weight diffs,   0 bias diffs
block 31:   384 weight diffs,   0 bias diffs
block 32:   384 weight diffs,   0 bias diffs
block 33:   384 weight diffs,   0 bias diffs
block 34:   384 weight diffs,   0 bias diffs
block 35:   384 weight diffs,   0 bias diffs
block 36:   384 weight diffs,   0 bias diffs
block 37:   384 weight diffs,   0 bias diffs
block 38:   384 weight diffs,   0 bias diffs
block 39:   384 weight diffs,   0 bias diffs
block 40:   384 weight diffs,   0 bias diffs
block 41:   384 weight diffs,   0 bias diffs
block 42:   384 weight diffs,   0 bias diffs
block 43:   384 weight diffs,   0 bias diffs
block 44:   384 weight diffs,   0 bias diffs
block 45:   384 weight diffs,   0 bias diffs
block 46:   384 weight diffs,   0 bias diffs
block 47:   384 weight diffs,   0 bias diffs
block 48:   384 weight diffs,   0 bias diffs
block 49:   384 weight diffs,   0 bias diffs
block 50:   384 weight diffs,   0 bias diffs
block 51:   384 weight diffs,   0 bias diffs
block 52:   384 weight diffs,   0 bias diffs
block 53:   384 weight diffs,   0 bias diffs
block 54:   384 weight diffs,   0 bias diffs
block 55:   384 weight diffs,   0 bias diffs
block 56:   384 weight diffs,   0 bias diffs
block 57:   384 weight diffs,   0 bias diffs
block 58:   384 weight diffs,   0 bias diffs
block 59:   384 weight diffs,   0 bias diffs
block 60:   384 weight diffs,   0 bias diffs
block 61:   384 weight diffs,   0 bias diffs
block 62:   384 weight diffs,   0 bias diffs
